timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,smooth_accel_z,1.460851607,0.000000001,smooth_mag_x,smooth_mag_y,alpha,standard deviation,smooth_gyro_z
4.70544E+12,0.40423584,3.0382233,9.056976,-0.12388611,-0.09512329,0.13586426,19.08722,5.555725,-51.01013,8.878896863,10.5504258,4705.441446,19.21836093,5.778379624,BLANK,0.520931008,0.027845048
4.70545E+12,0.55659485,3.0677185,9.064514,-0.13505554,-0.06352234,0.117614746,19.08722,5.555725,-51.01013,8.88817772,10.5504258,4705.446481,19.21180389,5.767246893,BLANK,0.520931008,0.032333533
4.70545E+12,0.73117065,3.1360474,9.061813,-0.13395691,-0.0541687,0.09472656,19.08722,5.555725,-51.01013,8.896859484,10.5504258,4705.451517,19.20557469,5.756670798,BLANK,0.520931008,0.035453184
4.70546E+12,0.80326843,3.120163,9.026474,-0.12121582,-0.06460571,0.06437683,19.08722,5.555725,-51.01013,8.903340209,10.5504258,4705.456552,19.19965696,5.746623508,BLANK,0.520931008,0.036899367
4.70546E+12,0.820755,3.0730286,8.886795,-0.101745605,-0.08598328,0.029678345,19.070435,4.1412354,-50.801086,8.902512949,10.5504258,4705.461587,19.19319586,5.666354103,BLANK,0.520931008,0.036538316
4.70547E+12,0.79797363,3.052353,8.723465,-0.08073425,-0.11427307,-0.006256104,19.070435,4.1412354,-50.801086,8.893560552,10.5504258,4705.466623,19.18705782,5.590098168,BLANK,0.520931008,0.034398595
4.70547E+12,0.716629,2.9994354,8.611862,-0.05973816,-0.14755249,-0.045715332,19.070435,4.1412354,-50.801086,8.879475624,10.5504258,4705.471658,19.18122668,5.517655029,BLANK,0.520931008,0.030392898
4.70548E+12,0.61650085,2.9361572,8.479919,-0.05104065,-0.17152405,-0.08305359,19.070435,4.1412354,-50.801086,8.859497793,10.5504258,4705.476694,19.17568709,5.448834048,BLANK,0.520931008,0.024720574
4.70548E+12,0.49969482,2.8843231,8.456467,-0.05342102,-0.18746948,-0.11778259,19.007874,3.7597656,-50.74005,8.839346253,10.5504258,4705.481729,19.16729644,5.364380625,BLANK,0.520931008,0.017595416
4.70549E+12,0.46733093,2.8624725,8.575516,-0.06843567,-0.19488525,-0.14820862,19.007874,3.7597656,-50.74005,8.82615474,10.5504258,4705.486764,19.15932532,5.284149874,BLANK,0.520931008,0.009305214
4.70549E+12,0.47044373,2.8260803,8.722534,-0.09213257,-0.19056702,-0.17198181,19.007874,3.7597656,-50.74005,8.820973703,10.5504258,4705.4918,19.15175275,5.20793066,BLANK,0.520931008,0.000240863
4.7055E+12,0.4972992,2.7116394,8.822815,-0.12080383,-0.17045593,-0.18972778,19.007874,3.7597656,-50.74005,8.821065768,10.5504258,4705.496835,19.14455881,5.135522407,BLANK,0.520931008,-0.009257569
4.7055E+12,0.5164032,2.6366577,8.848236,-0.1503601,-0.13168335,-0.20240784,18.556213,5.407715,-50.886536,8.82242428,10.5504258,4705.501871,19.11514152,5.149132037,BLANK,0.520931008,-0.018915083
4.70551E+12,0.47373962,2.5932465,8.86557,-0.17874146,-0.08087158,-0.2111206,18.556213,5.407715,-50.886536,8.824581566,10.5504258,4705.506906,19.0871951,5.162061185,BLANK,0.520931008,-0.028525359
4.70551E+12,0.40116882,2.5640717,8.848679,-0.20489502,-0.018814087,-0.21705627,18.556213,5.407715,-50.886536,8.825786438,10.5504258,4705.511941,19.06064599,5.174343876,BLANK,0.520931008,-0.037951904
4.70552E+12,0.28829956,2.5197906,8.84581,-0.23008728,0.04963684,-0.21961975,18.556213,5.407715,-50.886536,8.826787616,10.5504258,4705.516977,19.03542434,5.186012432,BLANK,0.520931008,-0.047035297
4.70552E+12,0.18623352,2.4901886,8.87471,-0.25401306,0.117004395,-0.21777344,17.134094,6.100464,-51.64337,8.829183735,10.5504258,4705.522012,18.94035782,5.231735011,BLANK,0.520931008,-0.055572204
4.70553E+12,0.14480591,2.4735107,8.93837,-0.27700806,0.186203,-0.2066803,17.134094,6.100464,-51.64337,8.834643048,10.5504258,4705.527048,18.85004463,5.27517146,BLANK,0.520931008,-0.063127609
4.70553E+12,0.118927,2.3979187,9.013687,-0.2955017,0.24861145,-0.18713379,17.134094,6.100464,-51.64337,8.843595246,10.5504258,4705.532083,18.7642471,5.316436087,BLANK,0.520931008,-0.069327918
4.70554E+12,0.09379578,2.3681183,9.057907,-0.3032074,0.29603577,-0.16293335,17.134094,6.100464,-51.64337,8.854310833,10.5504258,4705.537118,18.68273945,5.355637483,BLANK,0.520931008,-0.074008189
4.70554E+12,0.12852478,2.4542084,9.138794,-0.30007935,0.32929993,-0.13748169,16.946411,6.163025,-51.745605,8.868534992,10.5504258,4705.542154,18.59592302,5.396006859,BLANK,0.520931008,-0.077181864
4.70555E+12,0.32237244,2.6209106,9.14856,-0.28320313,0.34518433,-0.11088562,16.946411,6.163025,-51.745605,8.882536242,10.5504258,4705.547189,18.51344742,5.434357766,BLANK,0.520931008,-0.078867052
4.70555E+12,0.5812988,2.8124084,9.11525,-0.25398254,0.33969116,-0.08494568,16.946411,6.163025,-51.745605,8.89417193,10.5504258,4705.552225,18.4350956,5.470791127,BLANK,0.520931008,-0.079170984
4.70556E+12,0.81851196,2.976181,8.939606,-0.21200562,0.31103516,-0.06297302,16.946411,6.163025,-51.745605,8.896443634,10.5504258,4705.55726,18.36066137,5.505402821,BLANK,0.520931008,-0.078361085
4.70556E+12,0.9199524,3.1425781,8.694595,-0.16427612,0.25854492,-0.054519653,18.395996,6.968689,-50.331116,8.886351202,10.5504258,4705.562295,18.3624281,5.57856713,BLANK,0.520931008,-0.077169014
4.70557E+12,0.8877716,3.1987915,8.577209,-0.1186676,0.19148254,-0.060928345,18.395996,6.968689,-50.331116,8.870894092,10.5504258,4705.567331,18.3641065,5.648073223,BLANK,0.520931008,-0.07635698
4.70557E+12,0.7687988,3.3012085,8.399231,-0.07911682,0.11326599,-0.07923889,18.395996,6.968689,-50.331116,8.847310937,10.5504258,4705.572366,18.36570097,5.714104012,BLANK,0.520931008,-0.076501076
4.70558E+12,0.66244507,3.3318481,8.288223,-0.050476074,0.03060913,-0.1000061,18.395996,6.968689,-50.331116,8.81935654,10.5504258,4705.577402,18.36721572,5.776833262,BLANK,0.520931008,-0.077676327
4.70558E+12,0.5652313,3.3082428,8.235687,-0.037612915,-0.04673767,-0.11769104,18.492126,6.6986084,-51.49536,8.790173063,10.5504258,4705.582437,18.37346124,5.822922019,BLANK,0.520931008,-0.079677063
4.70559E+12,0.3885193,3.2973022,8.329086,-0.037002563,-0.13150024,-0.13362122,18.492126,6.6986084,-51.49536,8.76711871,10.5504258,4705.587472,18.37939448,5.866706338,BLANK,0.520931008,-0.08237427
4.70559E+12,0.12496948,3.197174,8.396179,-0.053344727,-0.20445251,-0.14701843,18.492126,6.6986084,-51.49536,8.748571725,10.5504258,4705.592508,18.38503105,5.908301441,BLANK,0.520931008,-0.085606478
4.7056E+12,-0.12687683,3.0503235,8.694855,-0.0796814,-0.2687683,-0.1543274,18.492126,6.6986084,-51.49536,8.745885888,10.5504258,4705.597543,18.3903858,5.947816789,BLANK,0.520931008,-0.089042525
4.7056E+12,-0.3033905,2.976059,8.92868,-0.11579895,-0.31707764,-0.15196228,18.492126,6.678772,-51.57776,8.755025594,10.5504258,4705.602579,18.39547281,5.984364549,BLANK,0.520931008,-0.092188512
4.70561E+12,-0.31596375,2.949112,9.059967,-0.15808105,-0.34280396,-0.1375122,18.492126,6.678772,-51.57776,8.770272664,10.5504258,4705.607614,18.40030547,6.019084922,BLANK,0.520931008,-0.094454697
