timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,Smooth Mag,smooth_mag_x,smooth_mag_y,smooth_mag_z,0.000000001,Rad/sec * seconds,1.359228818,Standard Deviation Gyro,
7.20556E+12,0.059951782,0.15649414,9.574844,-0.001449585,0.003723145,0.2686615,6.0562134,3.2302856,-44.955444,BLANK,6.504022685,3.545071894,-45.20773437,7205.562548,6.33E+02,36282.00628,1.359228818,-1.359228818
7.20557E+12,-0.25898743,-0.0206604,9.637741,-0.001464844,0.00479126,0.2598877,6.349182,3.2302856,-44.955444,BLANK,6.496280651,3.52933258,-45.19511985,7205.567583,6.35E+02,36401.59873,1.359228818,-1.359228818
7.20557E+12,-0.14593506,-0.15660095,9.598892,-0.001205444,0.005310059,0.2522583,6.349182,3.2302856,-44.955444,BLANK,6.488925718,3.514380231,-45.18313606,7205.572618,6.37E+02,36520.43867,1.359228818,-1.359228818
7.20558E+12,-0.198349,-0.08836365,9.707443,-3.51E-04,0.002716065,0.24116516,6.349182,3.2302856,-44.955444,BLANK,6.481938532,3.500175499,-45.17175145,7205.577654,6.39E+02,36638.10878,1.359228818,-1.359228818
7.20558E+12,0.18035889,0.2345581,9.580185,-1.37E-04,4.73E-04,0.24133301,6.349182,3.2302856,-44.955444,BLANK,6.475300706,3.486681004,-45.16093608,7205.582689,6.42E+02,36755.93798,1.359228818,-1.359228818
7.20559E+12,-0.03277588,0.08140564,9.6367035,0.001647949,0.002655029,0.25559998,6.8206787,2.9953003,-45.333862,BLANK,6.492569605,3.462111969,-45.16958238,7205.587725,6.44E+02,36875.60643,1.359228818,-1.359228818
7.20559E+12,-0.12936401,0.028442383,9.541855,0.001998901,0.001296997,0.26094055,6.8206787,2.9953003,-45.333862,BLANK,6.50897506,3.438771386,-45.17779636,7205.59276,6.46E+02,36996.06024,1.359228818,-1.359228818
7.2056E+12,0.3843689,0.40034485,9.6115265,0.001998901,0.002960205,0.2536316,6.8206787,2.9953003,-45.333862,BLANK,6.524560242,3.416597831,-45.18559964,7205.597795,6.48E+02,37115.78951,1.359228818,-1.359228818
7.2056E+12,-0.22120667,0.05506897,9.582123,0.001998901,0.001190186,0.25180054,6.8206787,2.9953003,-45.333862,BLANK,6.539366165,3.395532955,-45.19301276,7205.602831,6.50E+02,37235.44537,1.359228818,-1.359228818
7.20561E+12,0.019744873,0.19396973,9.620789,0.001998901,0.003051758,0.22549438,6.915283,2.7145386,-45.79315,BLANK,6.558162007,3.361483237,-45.22301962,7205.607866,6.52E+02,37352.08165,1.359228818,-1.359228818
7.20561E+12,0.40480042,0.2540741,9.667801,6.10E-05,0.001235962,0.20083618,6.915283,2.7145386,-45.79315,BLANK,6.576018056,3.329136005,-45.25152614,7205.612902,6.54E+02,37465.87435,1.359228818,-1.359228818
7.20562E+12,0.09109497,0.12617493,9.696808,9.16E-04,-3.05E-05,0.17497253,6.915283,2.7145386,-45.79315,BLANK,6.592981304,3.298406135,-45.27860733,7205.617937,6.56E+02,37576.65637,1.359228818,-1.359228818
7.20562E+12,-0.017227173,0.14248657,9.581451,9.00E-04,-0.001068115,0.13453674,6.059265,3.227234,-45.458984,BLANK,6.566295488,3.294847528,-45.28762617,7205.622972,6.58E+02,37682.63957,1.359228818,-1.359228818
7.20563E+12,-0.19140625,0.092056274,9.612198,-1.37E-04,0.001083374,0.092941284,6.059265,3.227234,-45.458984,BLANK,6.540943964,3.291466852,-45.29619406,7205.628008,6.59E+02,37783.64812,1.359228818,-1.359228818
7.20563E+12,-0.20788574,0.11695862,9.597443,-2.14E-04,0.001876831,0.052368164,6.059265,3.227234,-45.458984,BLANK,6.516860016,3.288255209,-45.30433356,7205.633043,6.61E+02,37879.77045,1.359228818,-1.359228818
7.20564E+12,-0.22059631,0.097732544,9.607391,-0.00112915,-0.001190186,0.027282715,6.059265,3.227234,-45.458984,BLANK,6.493980265,3.285204149,-45.31206608,7205.638079,6.63E+02,37972.86158,1.359228818,-1.359228818
7.20564E+12,-0.2684021,0.10719299,9.640961,-1.07E-04,-0.002166748,0.013275147,5.3771973,3.2058716,-44.59839,BLANK,6.438141117,3.281237521,-45.27638227,7205.643114,6.64E+02,38064.25494,1.359228818,-1.359228818
7.20565E+12,-0.2505188,0.07266235,9.634384,9.31E-04,-0.002166748,0.005630493,5.3771973,3.2058716,-44.59839,BLANK,6.385093926,3.277469225,-45.24248266,7205.648149,6.66E+02,38154.71858,1.359228818,-1.359228818
7.20565E+12,-0.25154114,0.041641235,9.624664,0.001083374,-0.00201416,0.002349854,5.3771973,3.2058716,-44.59839,BLANK,6.334699095,3.273889344,-45.21027803,7205.653185,6.67E+02,38244.78228,1.359228818,-1.359228818
7.20566E+12,-0.2349701,0.035324097,9.59584,0.001800537,-0.001296997,-3.66E-04,5.3771973,3.2058716,-44.59839,BLANK,6.286824005,3.270488457,-45.17968363,7205.65822,6.69E+02,38334.51271,1.359228818,-1.359228818
7.20566E+12,-0.22904968,0.031295776,9.623947,7.02E-04,-0.002166748,-1.37E-04,5.541992,2.7145386,-44.117737,BLANK,6.249582405,3.242690964,-45.12658629,7205.663256,6.71E+02,38424.2712,1.359228818,-1.359228818
7.20567E+12,-0.25157166,0.05291748,9.6384735,-3.66E-04,-0.001724243,7.02E-04,5.541992,2.7145386,-44.117737,BLANK,6.214202884,3.216283346,-45.07614383,7205.668291,6.72E+02,38514.1335,1.359228818,-1.359228818
7.20567E+12,-0.2592926,0.05027771,9.641678,-0.00100708,-3.05E-05,5.04E-04,5.541992,2.7145386,-44.117737,BLANK,6.18059234,3.191196108,-45.02822349,7205.673326,6.74E+02,38603.97157,1.359228818,-1.359228818
7.20568E+12,-0.2543335,0.032989502,9.625534,1.53E-04,-3.36E-04,-6.10E-05,5.541992,2.7145386,-44.117737,BLANK,6.148662323,3.167363233,-44.98269916,7205.678362,6.75E+02,38693.73975,1.359228818,-1.359228818
7.20568E+12,-0.24186707,0.04673767,9.609161,9.31E-04,-0.001419067,3.97E-04,5.6381226,3.0075073,-44.59381,BLANK,6.123135337,3.159370436,-44.96325471,7205.683397,6.77E+02,38783.56494,1.359228818,-1.359228818
7.20569E+12,-0.25170898,0.07173157,9.613113,9.31E-04,-0.002166748,-1.53E-05,5.6381226,3.0075073,-44.59381,BLANK,6.0988847,3.15177728,-44.94478247,7205.688433,6.78E+02,38873.33888,1.359228818,-1.359228818
7.20569E+12,-0.2686615,0.06311035,9.608902,9.31E-04,-0.001434326,3.36E-04,5.6381226,3.0075073,-44.59381,BLANK,6.075846595,3.144563781,-44.92723385,7205.693468,6.80E+02,38963.15678,1.359228818,-1.359228818
7.2057E+12,-0.25523376,0.070510864,9.621918,5.49E-04,-4.12E-04,-7.32E-04,5.6381226,3.0075073,-44.59381,BLANK,6.053960395,3.137710957,-44.91056265,7205.698503,6.82E+02,39052.8408,1.359228818,-1.359228818
7.2057E+12,-0.26026917,0.08277893,9.620865,-1.37E-04,-0.001464844,-0.001434326,6.42395,2.720642,-45.451355,BLANK,6.072459876,3.116857509,-44.93760227,7205.703539,6.83E+02,39142.43612,1.359228818,-1.359228818
7.20571E+12,-0.25630188,0.0695343,9.629517,0.001190186,-0.002166748,-0.001434326,6.42395,2.720642,-45.451355,BLANK,6.090034382,3.097046733,-44.96328991,7205.708574,6.85E+02,39232.0306,1.359228818,-1.359228818
7.20571E+12,-0.25039673,0.07145691,9.629471,0.002593994,-0.002166748,-9.61E-04,6.42395,2.720642,-45.451355,BLANK,6.106730163,3.078226497,-44.98769316,7205.71361,6.86E+02,39321.68403,1.359228818,-1.359228818
7.20572E+12,-0.25520325,0.076049805,9.617538,0.00100708,-0.001678467,-3.66E-04,6.42395,2.720642,-45.451355,BLANK,6.122591155,3.060347272,-45.01087625,7205.718645,6.88E+02,39411.41229,1.359228818,-1.359228818
7.20572E+12,-0.25906372,0.06756592,9.605698,-1.37E-04,-0.001098633,1.53E-04,6.915283,2.3712158,-45.79315,BLANK,6.162225747,3.025890698,-45.04998994,7205.72368,6.89E+02,39501.20618,1.359228818,-1.359228818
7.20573E+12,-0.28077698,0.073394775,9.5885315,8.70E-04,-0.001617432,1.98E-04,6.915283,2.3712158,-45.79315,BLANK,6.19987861,2.993156953,-45.08714794,7205.728716,6.91E+02,39591.00598,1.359228818,-1.359228818
7.20573E+12,-0.24449158,0.077941895,9.58873,3.97E-04,-0.002166748,-8.85E-04,6.915283,2.3712158,-45.79315,BLANK,6.235648829,2.962059896,-45.12244805,7205.733751,6.93E+02,39680.66776,1.359228818,-1.359228818
7.20574E+12,-0.23908997,0.07307434,9.612335,-6.26E-04,-0.002166748,-8.39E-04,6.915283,2.3712158,-45.79315,BLANK,6.269630538,2.932517691,-45.15598315,7205.738787,6.94E+02,39770.33486,1.359228818,-1.359228818
7.20574E+12,-0.26649475,0.053863525,9.639145,0.001083374,-0.002792358,-3.66E-04,7.902527,2.9190063,-45.47119,BLANK,6.351275361,2.931842121,-45.17174349,7205.743822,6.96E+02,39860.06209,1.359228818,-1.359228818
7.20575E+12,-0.27148438,0.06639099,9.627808,7.02E-04,-0.003234863,-0.001647949,7.902527,2.9190063,-45.47119,BLANK,6.428837943,2.93120033,-45.18671581,7205.748857,6.97E+02,39949.62454,1.359228818,-1.359228818
7.20575E+12,-0.24009705,0.051864624,9.602341,-8.09E-04,-0.002578735,-0.001831055,7.902527,2.9190063,-45.47119,BLANK,6.502522396,2.930590629,-45.20093952,7205.753893,6.99E+02,40039.16247,1.359228818,-1.359228818
7.20576E+12,-0.21813965,0.07131958,9.639618,7.63E-05,-0.002166748,-0.001434326,7.902527,2.9190063,-45.47119,BLANK,6.572522626,2.930011412,-45.21445205,7205.758928,7.00E+02,40128.75052,1.359228818,-1.359228818
7.20576E+12,-0.23632813,0.07261658,9.616959,9.31E-04,-0.001480103,-0.001434326,6.867981,2.319336,-45.733643,BLANK,6.587295544,2.899477642,-45.24041159,7205.763964,7.02E+02,40218.33773,1.359228818,-1.359228818
7.20577E+12,-0.23301697,0.063934326,9.618973,0.001663208,-0.001846314,-0.002166748,6.867981,2.319336,-45.733643,BLANK,6.601329817,2.87047056,-45.26507316,7205.768999,7.04E+02,40307.82926,1.359228818,-1.359228818
7.20577E+12,-0.22657776,0.08343506,9.602783,4.58E-04,-0.002944946,-9.61E-04,6.867981,2.319336,-45.733643,BLANK,6.614662376,2.842913832,-45.28850166,7205.774034,7.05E+02,40397.47601,1.359228818,-1.359228818
7.20578E+12,-0.22415161,0.08828735,9.603409,-9.46E-04,-0.002441406,0.001235962,6.867981,2.319336,-45.733643,BLANK,6.627328308,2.81673494,-45.31075872,7205.77907,7.07E+02,40487.40812,1.359228818,-1.359228818
7.20578E+12,-0.24630737,0.084228516,9.607941,-3.97E-04,-0.001358032,-6.71E-04,6.0562134,1.8554688,-45.961,BLANK,6.598772562,2.768671633,-45.34327079,7205.784105,7.08E+02,40577.09222,1.359228818,-1.359228818
7.20579E+12,-0.24884033,0.06585693,9.597168,-9.31E-04,-0.001098633,-0.001434326,6.0562134,1.8554688,-45.961,BLANK,6.571644604,2.723011491,-45.37415725,7205.789141,7.10E+02,40666.67621,1.359228818,-1.359228818
7.20579E+12,-0.29730225,0.0675354,9.622238,4.88E-04,-0.001953125,-0.001434326,6.0562134,1.8554688,-45.961,BLANK,6.545873044,2.679634357,-45.40349939,7205.794176,7.11E+02,40756.25939,1.359228818,-1.359228818
7.2058E+12,-0.2658081,0.08306885,9.646118,-8.70E-04,-0.001281738,-0.001434326,6.0562134,1.8554688,-45.961,BLANK,6.521390062,2.638426079,-45.43137442,7205.799211,7.13E+02,40845.84172,1.359228818,-1.359228818
7.2058E+12,-0.20257568,0.085357666,9.653244,-0.003051758,7.32E-04,-0.002349854,7.395935,1.9775391,-46.080017,BLANK,6.565117309,2.60538173,-45.46380655,7205.804247,7.14E+02,40935.30278,1.359228818,-1.359228818
7.20581E+12,-0.25331116,0.119888306,9.582565,-0.001464844,0.001968384,-0.002502441,7.395935,1.9775391,-46.080017,BLANK,6.606658193,2.573989599,-45.49461707,7205.809282,7.16E+02,41024.74238,1.359228818,-1.359228818
7.20581E+12,-0.22009277,0.061523438,9.602081,-0.002182007,0.00402832,-0.002502441,7.395935,1.9775391,-46.080017,BLANK,6.646122034,2.544167074,-45.52388706,7205.814318,7.18E+02,41114.18052,1.359228818,-1.359228818
7.20582E+12,-0.24130249,0.09059143,9.735504,-0.00227356,0.005157471,-0.002502441,7.395935,1.9775391,-46.080017,BLANK,6.683612682,2.515835675,-45.55169356,7205.819353,7.19E+02,41203.61723,1.359228818,-1.359228818
7.20582E+12,-0.1985321,0.073913574,9.716339,-2.44E-04,0.001235962,-4.58E-04,6.8115234,3.4118652,-45.021057,BLANK,6.690008218,2.560637151,-45.52516173,7205.824388,7.21E+02,41293.32384,1.359228818,-1.359228818
7.20583E+12,-0.26927185,0.08546448,9.679764,-1.37E-04,-1.53E-05,-0.001403809,6.8115234,3.4118652,-45.021057,BLANK,6.696083977,2.603198554,-45.4999565,7205.829424,7.22E+02,41382.90436,1.359228818,-1.359228818
7.20583E+12,-0.33633423,0.10307312,9.643692,-1.53E-04,-3.05E-05,-0.002502441,6.8115234,3.4118652,-45.021057,BLANK,6.701855948,2.643631886,-45.47601152,7205.834459,7.24E+02,41472.33765,1.359228818,-1.359228818
